lns,lnk,s,k,k^0.5,y,Y,K/Ye,ke,vark,Ye/Y
0.2613,-0.3949,1.298617192,0.673747411,0.820821181,1.065932497,8455.639632,10110.25816,1.011025816,3.765836859,1.195682243
-0.7368,-1.7858,0.478643125,0.167662877,0.409466576,0.195988362,,,,,
-1.0943,-0.321,0.334773867,0.725423251,0.851717824,0.285132869,,,,,
0.099,-1.8438,1.1040663,0.158215065,0.397762574,0.439156253,,,,,
-1.1491,0.348,0.316921871,1.41623225,1.190055566,0.377154636,,,,,
0.5167,-0.1239,1.676486107,0.883468183,0.939929882,1.575779389,,,,,
1.1834,0.6818,3.265457907,1.977433912,1.406212613,4.591928094,,,,,
0.3732,0.2753,1.452374786,1.316925693,1.147573829,1.666707294,,,,,
-1.0257,-0.7108,0.358545396,0.491251039,0.70089303,0.251301969,,,,,
0.1046,-0.855,1.110266415,0.425283191,0.652137402,0.724046255,,,,,
0.4599,-1.9982,1.583915586,0.135579106,0.368210682,0.583214638,,,,,
0.8019,-0.0791,2.229773476,0.923947525,0.961221892,2.143307079,,,,,
0.3227,0.6267,1.380851033,1.871424677,1.368000247,1.889004555,,,,,
-0.6632,-1.2987,0.515200054,0.272886315,0.522385217,0.269132892,,,,,
-0.1232,-0.3386,0.884086828,0.712767499,0.844255589,0.746395245,,,,,
-1.3479,-0.0829,0.259785237,0.920443187,0.959397304,0.249237256,,,,,
-0.1582,-1.8491,0.853679029,0.157378743,0.396709898,0.338662921,,,,,
-0.5409,-0.79,0.582224015,0.453844795,0.673680039,0.392232697,,,,,
0.3231,-2.8154,1.381403484,0.059880762,0.244705459,0.338036974,,,,,
0.3477,0.1187,1.415807444,1.126032058,1.061146577,1.502379223,,,,,
1.1528,1.4007,3.167048242,4.058039601,2.014457644,6.37988454,,,,,
0.2053,-1.748,1.227893378,0.174121839,0.41727909,0.512374232,,,,,
0.656,-2.5109,1.927068623,0.081195131,0.284947593,0.549113566,,,,,
-0.5872,-1.9791,0.555881576,0.138193556,0.371743938,0.206645606,,,,,
-0.2847,-1.2711,0.752239892,0.280522877,0.529644104,0.398419424,,,,,
-0.9281,-1.4082,0.395304075,0.244583137,0.494553472,0.195499003,,,,,
-0.9616,-1.9715,0.382280747,0.139247828,0.373159253,0.142651598,,,,,
-0.3836,-1.058,0.681403934,0.347149415,0.589193869,0.40147902,,,,,
0.6489,-0.9323,1.913434893,0.39364728,0.627413165,1.200514242,,,,,
0.0064,0.8337,1.006420524,2.301819737,1.51717492,1.526915977,,,,,
0.4789,0.9807,1.614297698,2.666322014,1.632887631,2.635966743,,,,,
0.3848,-0.6924,1.469320428,0.50037373,0.707370999,1.039354659,,,,,
-0.5387,-2.9289,0.583506318,0.053455807,0.231205119,0.134909648,,,,,
-0.3593,-1.0232,0.69816487,0.359442881,0.599535554,0.418574662,,,,,
-0.6199,-2.5266,0.537998235,0.079930322,0.282719511,0.152102598,,,,,
1.3056,-1.9181,3.689902371,0.14688578,0.383256807,1.414180201,,,,,
0.2453,-0.7648,1.278004657,0.465427007,0.68222211,0.871883033,,,,,
-0.3152,-1.4225,0.729642931,0.241110487,0.491030026,0.358276588,,,,,
-0.5414,-2.2689,0.581932976,0.103425886,0.321598952,0.187149035,,,,,
-1.0901,-2.1119,0.336182874,0.121007833,0.347861802,0.11694518,,,,,
-1.6702,-0.1702,0.18820942,0.843496101,0.918420438,0.172855378,,,,,
-0.6537,-1.8646,0.520117776,0.154958181,0.39364728,0.204742948,,,,,
0.4165,-2.8804,1.516644001,0.056112313,0.236880378,0.359263204,,,,,
-1.3952,-0.3558,0.247783475,0.700612729,0.837026122,0.207401241,,,,,
0.7663,-0.5616,2.151789884,0.57029586,0.755179356,1.624987299,,,,,
-0.8061,-1.3891,0.4465964,0.249299573,0.499299082,0.222985173,,,,,
-1.9299,0.1095,0.145162714,1.115720071,1.056276513,0.153331965,,,,,
-1.6061,-0.4342,0.200668698,0.647782686,0.80484948,0.161508097,,,,,
0.5864,-0.1026,1.797505733,0.902487896,0.94999363,1.707618996,,,,,
-1.705,-0.0827,0.181772386,0.920627294,0.959493249,0.174409377,,,,,
-1.7391,-2.2269,0.17567844,0.107862285,0.328423942,0.057697006,,,,,
-0.6751,-0.3625,0.509105508,0.695934314,0.834226776,0.424709446,,,,,
1.3261,-0.8226,3.766326036,0.43928802,0.662788065,2.496275947,,,,,
-1.7868,-3.3593,0.167495298,0.034759582,0.186439218,0.031227692,,,,,
-0.0958,0.1359,0.908645727,1.145567331,1.070311792,0.972534236,,,,,
